ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Николаева Валерия Владимировна,Улица Академика Пилюгина,30,4,1984,,"Ленинский проспект
",,,Абрамова Кристина Андреевна
Белов Максим Демидович,Улица Архитектора Власова,8,187,1974,,Улица Гарибальди,,,Александрова Василиса Ивановна
Усова Алиса Николаевна,Улица Строителей,29,293,1957,,Улица Вавилова,,,Алексеев Степан Семёнович
Куликов Ярослав Фёдорович,Нахимовский проспект,28,216,1952,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Тихонов Константин Артёмович,Улица Крупской,18,252,1954,,Улица Строителей,Улица Академика Пилюгина,,Алешина Кристина Евгеньевна
Тихонова Василиса Фёдоровна,Улица Строителей,11,56,1987,,Улица Крупской,,,Ананьев Алексей Семёнович
Гришина Кира Артемьевна,Улица Кравченко,13,274,1951,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Пономарева Ирина Александровна,Улица Панфёрова,20,200,1968,,Улица Кравченко,,,Анохина Полина Кирилловна
Тихомиров Герман Даниилович,Улица Вавилова,20,280,1998,,Улица Панфёрова,,,Антонов Артём Платонович
Орлова Алёна Романовна,Проспект Вернадского,12,47,1959,,Улица Академика Пилюгина,,,Астахова София Ильинична
Алешина Кристина Евгеньевна,Улица Строителей,3,165,1960,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Николаева Валерия Владимировна,"Ленинский проспект
",27,24,1991,,Нахимовский проспект,,,Балашова Анна Савельевна
Рыбаков Фёдор Дмитриевич,Улица Панфёрова,2,218,1987,,,,,Баранова Алиса Ивановна
Усова Алиса Николаевна,Нахимовский проспект,3,9,1956,,,,,Баранова Майя Михайловна
Никитина Мария Руслановна,Улица Строителей,29,181,1972,,,,,Баранова Василиса Александровна
Иванов Даниил Олегович,"Ленинский проспект
",19,187,1990,,,,,Баранова Виктория Максимовна
Шилова Алиса Ивановна,Улица Крупской,19,227,1952,,,,,Белов Максим Демидович
Новикова София Елисеевна,Улица Строителей,27,58,1984,,,,,Белова София Львовна
Богданов Владимир Маркович,Улица Академика Пилюгина,17,87,1999,,,,,Белова Анастасия Ивановна
Кожевников Иван Евгеньевич,Улица Крупской,24,291,2002,,,,,Беляева Ева Данииловна
Добрынин Дмитрий Тихонович,Улица Крупской,13,189,1988,,,,,Блохина Елизавета Ильинична
Миронов Иван Никитич,Нахимовский проспект,9,176,1985,,,,,Богданов Владимир Маркович
Моисеева София Максимовна,Улица Академика Пилюгина,9,102,1973,,,,,Васильев Кирилл Ильич
Иванова Татьяна Юрьевна,Улица Академика Пилюгина,18,13,1997,,,,,Васильев Михаил Константинович
Богданов Владимир Маркович,Улица Панфёрова,12,252,1984,,,,,Васильева София Николаевна
Васильев Кирилл Ильич,Улица Марии Ульяновой,9,46,1952,,,,,Васильева Вероника Мироновна
Соколов Михаил Романович,Улица Марии Ульяновой,22,66,1964,,,,,Васильева София Марковна
Петровская Полина Максимовна,Нахимовский проспект,12,148,1993,,,,,Власова Алина Андреевна
