ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Усова Алиса Николаевна,Улица Строителей,1,39,1988,,Ленинский проспект,,,Абрамова Кристина Андреевна
Орлов Игорь Александрович,Улица Строителей,27,103,1973,,Улица Гарибальди,,,Александрова Василиса Ивановна
Гришина Кира Артемьевна,Улица Архитектора Власова,25,1,1962,,Улица Вавилова,,,Алексеев Степан Семёнович
Орлов Вадим Иванович,Нахимовский проспект,17,135,2004,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Колесников Георгий Маркович,Улица Марии Ульяновой,6,180,1989,,Улица Строителей,Улица Кравченко,,Алешина Кристина Евгеньевна
Ананьев Алексей Семёнович,Улица Строителей,23,135,1981,,Улица Крупской,,,Ананьев Алексей Семёнович
Филиппова София Максимовна,Улица Марии Ульяновой,21,296,1974,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Петровская Анастасия Макаровна,Улица Панфёрова,26,44,1995,,Улица Кравченко,,,Анохина Полина Кирилловна
Яковлев Леонид Константинович,Улица Архитектора Власова,3,122,1961,,Улица Панфёрова,,,Антонов Артём Платонович
Денисов Илья Дмитриевич,Улица Крупской,8,142,2004,,Улица Академика Пилюгина,,,Астахова София Ильинична
Самсонова Милана Матвеевна,Проспект Вернадского,20,182,2002,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Прохоров Андрей Арсеньевич,Улица Марии Ульяновой,5,178,1983,,Нахимовский проспект,,,Балашова Анна Савельевна
Воронина Полина Глебовна,Улица Крупской,18,84,1970,,,,,Баранова Алиса Ивановна
Жданова Ульяна Никитична,Улица Кравченко,1,129,1959,,,,,Баранова Майя Михайловна
Тихонова Василиса Фёдоровна,Ленинский проспект,18,121,2001,,,,,Баранова Василиса Александровна
Алешина Кристина Евгеньевна,Улица Вавилова,28,41,1957,,,,,Баранова Виктория Максимовна
Овчинникова Ольга Ильинична,Нахимовский проспект,12,81,1961,,,,,Белов Максим Демидович
Сидоров Матвей Даниилович,Улица Кравченко,20,215,1975,,,,,Белова София Львовна
Моисеева София Максимовна,Ленинский проспект,2,60,1985,,,,,Белова Анастасия Ивановна
Иванов Артём Иванович,Улица Панфёрова,27,220,1992,,,,,Беляева Ева Данииловна
Новикова Кира Борисовна,Улица Гарибальди,1,181,1980,,,,,Блохина Елизавета Ильинична
Копылов Григорий Платонович,Улица Архитектора Власова,27,35,1950,,,,,Богданов Владимир Маркович
Ежова Ксения Георгиевна,Улица Крупской,18,249,1961,,,,,Васильев Кирилл Ильич
Козлов Глеб Матвеевич,Улица Марии Ульяновой,6,187,1982,,,,,Васильев Михаил Константинович
Денисов Алексей Романович,Улица Академика Пилюгина,12,165,1962,,,,,Васильева София Николаевна
Петровская Полина Максимовна,Улица Гарибальди,25,74,1956,,,,,Васильева Вероника Мироновна
Скворцов Максим Мирославович,Улица Архитектора Власова,27,39,1960,,,,,Васильева София Марковна
Чернышев Платон Артёмович,Улица Крупской,6,238,1989,,,,,Власова Алина Андреевна
Кудрявцева Анна Тимофеевна,Улица Крупской,19,237,1994,,,,,Волков Кирилл Маркович
Овчинникова Дарья Ильинична,Улица Гарибальди,20,77,1996,,,,,Воронин Сергей Дмитриевич
Баранова Василиса Александровна,Улица Гарибальди,4,18,1963,,,,,Воронина Полина Глебовна
Левина Анна Александровна,Улица Вавилова,30,227,1954,,,,,Герасимов Андрей Матвеевич
Гришина Кира Артемьевна,Улица Строителей,23,175,1978,,,,,Герасимов Артур Денисович
Блохина Елизавета Ильинична,Проспект Вернадского,20,248,1981,,,,,Глухова Полина Андреевна
Голиков Лев Никитич,Улица Академика Пилюгина,18,128,1990,,,,,Голиков Лев Никитич
Рыбаков Фёдор Дмитриевич,Улица Панфёрова,15,161,1995,,,,,Голиков Кирилл Маркович
Петрова Алиса Степановна,Ленинский проспект,9,248,1958,,,,,Гордеева Диана Михайловна
Рыбаков Фёдор Дмитриевич,Улица Академика Пилюгина,22,14,1979,,,,,Горелов Владимир Дмитриевич
Баранова Виктория Максимовна,Нахимовский проспект,12,241,1953,,,,,Грачев Платон Русланович
Кукушкин Павел Львович,Нахимовский проспект,28,189,1964,,,,,Григорьев Пётр Александрович
Соколов Михаил Романович,Улица Гарибальди,2,182,2001,,,,,Гришина Кира Артемьевна
Суворов Макар Александрович,Улица Гарибальди,30,96,1960,,,,,Громова Кира Антоновна
Горелов Владимир Дмитриевич,Улица Академика Пилюгина,29,180,1959,,,,,Давыдов Кирилл Янович
Соколова Полина Романовна,Ленинский проспект,26,105,1995,,,,,Данилова Диана Тимуровна
Карпов Григорий Иванович,Улица Кравченко,5,152,1975,,,,,Денисов Илья Дмитриевич
Карпова Арина Григорьевна,Улица Марии Ульяновой,4,102,1956,,,,,Денисов Алексей Романович
Алексеев Степан Семёнович,Улица Академика Пилюгина,11,72,1951,,,,,Дмитриев Ярослав Романович
Семенова Виктория Ивановна,Нахимовский проспект,16,48,2004,,,,,Добрынин Дмитрий Тихонович
