ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Симонов Роман Андреевич,Улица Строителей,17,86,1951,,Ленинский проспект,,,Абрамова Кристина Андреевна
Егоров Глеб Семёнович,Проспект Вернадского,4,286,1990,,Улица Гарибальди,,,Александрова Василиса Ивановна
Максимова Полина Кирилловна,Улица Гарибальди,15,285,1980,,Улица Вавилова,,,Алексеев Степан Семёнович
Николаева Валерия Владимировна,Проспект Вернадского,21,111,1983,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Добрынин Дмитрий Тихонович,Улица Крупской,8,229,1983,,Улица Строителей,Улица Панфёрова,,Алешина Кристина Евгеньевна
Федотова Полина Максимовна,Улица Строителей,16,261,1953,,Улица Крупской,,,Ананьев Алексей Семёнович
Карпов Александр Тимурович,Улица Вавилова,17,197,1973,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Иванов Даниил Олегович,Проспект Вернадского,27,88,1972,,Улица Кравченко,,,Анохина Полина Кирилловна
Новикова Кристина Васильевна,Улица Академика Пилюгина,29,164,1979,,Улица Панфёрова,,,Антонов Артём Платонович
Дьякова Анастасия Александровна,Улица Марии Ульяновой,13,285,1952,,Улица Академика Пилюгина,,,Астахова София Ильинична
Никонова София Константиновна,Улица Академика Пилюгина,22,299,1962,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Новикова Елизавета Дмитриевна,Улица Марии Ульяновой,4,108,1996,,Нахимовский проспект,,,Балашова Анна Савельевна
Николаева Валерия Владимировна,Улица Марии Ульяновой,8,292,1988,,,,,Баранова Алиса Ивановна
Алешина Кристина Евгеньевна,Улица Кравченко,1,294,1985,,,,,Баранова Майя Михайловна
Воронин Сергей Дмитриевич,Улица Академика Пилюгина,22,21,1963,,,,,Баранова Василиса Александровна
Филимонова Анна Владимировна,Улица Вавилова,4,284,1969,,,,,Баранова Виктория Максимовна
Карпов Григорий Иванович,Проспект Вернадского,2,121,1970,,,,,Белов Максим Демидович
Васильева Вероника Мироновна,Проспект Вернадского,14,62,2005,,,,,Белова София Львовна
Петровская Полина Максимовна,Улица Кравченко,12,215,1977,,,,,Белова Анастасия Ивановна
Иванов Максим Тимофеевич,Улица Строителей,15,241,1960,,,,,Беляева Ева Данииловна
Снегирева Дарья Глебовна,Улица Панфёрова,6,16,1962,,,,,Блохина Елизавета Ильинична
Павлов Кирилл Александрович,Улица Строителей,1,9,1955,,,,,Богданов Владимир Маркович
Павлов Кирилл Александрович,Улица Панфёрова,13,237,1998,,,,,Васильев Кирилл Ильич
Пономарева Ирина Александровна,Улица Крупской,1,139,1959,,,,,Васильев Михаил Константинович
Яковлев Леонид Константинович,Улица Академика Пилюгина,12,171,1969,,,,,Васильева София Николаевна
Карпова Арина Григорьевна,Улица Строителей,20,139,2005,,,,,Васильева Вероника Мироновна
Абрамова Кристина Андреевна,Улица Строителей,25,120,1984,,,,,Васильева София Марковна
Тихонов Константин Артёмович,Нахимовский проспект,16,79,1959,,,,,Власова Алина Андреевна
Суворов Макар Александрович,Улица Вавилова,30,6,1957,,,,,Волков Кирилл Маркович
Орлов Вадим Иванович,Улица Архитектора Власова,4,77,1997,,,,,Воронин Сергей Дмитриевич
Петрова Таисия Артёмовна,Улица Марии Ульяновой,30,273,2005,,,,,Воронина Полина Глебовна
Данилова Диана Тимуровна,Улица Гарибальди,5,123,1974,,,,,Герасимов Андрей Матвеевич
Алексеев Матвей Яковлевич,Улица Вавилова,3,197,2004,,,,,Герасимов Артур Денисович
Захаров Николай Александрович,Улица Кравченко,15,118,1969,,,,,Глухова Полина Андреевна
Грачев Платон Русланович,Ленинский проспект,9,122,1981,,,,,Голиков Лев Никитич
Лазарева Анна Григорьевна,Улица Крупской,20,287,1998,,,,,Голиков Кирилл Маркович
Серебрякова Дарья Георгиевна,Улица Кравченко,23,154,1961,,,,,Гордеева Диана Михайловна
Голиков Кирилл Маркович,Улица Марии Ульяновой,16,49,1968,,,,,Горелов Владимир Дмитриевич
Плотников Елисей Ильич,Ленинский проспект,20,254,1966,,,,,Грачев Платон Русланович
Соколов Лев Владиславович,Улица Академика Пилюгина,14,186,1999,,,,,Григорьев Пётр Александрович
Голиков Лев Никитич,Проспект Вернадского,19,20,2001,,,,,Гришина Кира Артемьевна
Гордеева Диана Михайловна,Проспект Вернадского,11,252,1992,,,,,Громова Кира Антоновна
Семенова Виктория Ивановна,Улица Архитектора Власова,9,161,1972,,,,,Давыдов Кирилл Янович
Павлов Лев Александрович,Улица Марии Ульяновой,12,294,1954,,,,,Данилова Диана Тимуровна
Голиков Лев Никитич,Ленинский проспект,10,160,2005,,,,,Денисов Илья Дмитриевич
Анохина Полина Кирилловна,Улица Строителей,1,203,2001,,,,,Денисов Алексей Романович
Белов Максим Демидович,Улица Вавилова,28,191,1986,,,,,Дмитриев Ярослав Романович
Богданов Владимир Маркович,Улица Строителей,21,208,1952,,,,,Добрынин Дмитрий Тихонович
Копылов Григорий Платонович,Улица Архитектора Власова,23,10,1985,,,,,Дорофеев Никита Александрович
Орлова Алёна Романовна,Улица Строителей,4,186,2002,,,,,Дорофеева Анна Фёдоровна
Федотова Полина Максимовна,Ленинский проспект,3,118,1990,,,,,Дьякова Анастасия Александровна
Иванов Максим Тимофеевич,Проспект Вернадского,13,11,1982,,,,,Егоров Глеб Семёнович
Карпов Григорий Иванович,Улица Академика Пилюгина,22,230,1988,,,,,Егорова Надежда Дмитриевна
Овчинникова Ольга Ильинична,Улица Гарибальди,13,32,1961,,,,,Ежова Ксения Георгиевна
Баранова Алиса Ивановна,Улица Крупской,29,135,1999,,,,,Елизарова Антонина Игоревна
Романов Сергей Михайлович,Нахимовский проспект,26,69,1975,,,,,Ермакова Майя Никитична
Пономарева Мирослава Григорьевна,Улица Крупской,24,204,1960,,,,,Жданов Кирилл Фёдорович
Осипов Александр Тимофеевич,Улица Крупской,27,273,1959,,,,,Жданов Илья Михайлович
Белова София Львовна,Улица Вавилова,8,38,1975,,,,,Жданова Ульяна Никитична
Дмитриев Ярослав Романович,Улица Академика Пилюгина,10,223,1975,,,,,Захаров Роман Денисович
Филиппова Надежда Ярославовна,Нахимовский проспект,16,117,1959,,,,,Захаров Николай Александрович
Антонов Артём Платонович,Улица Крупской,22,12,2000,,,,,Захаров Илья Никитич
Максимова Анна Фёдоровна,Ленинский проспект,20,223,1958,,,,,Захарова Дарина Ярославовна
Алешина Кристина Евгеньевна,Проспект Вернадского,23,5,1969,,,,,Зубков Алексей Арсеньевич
Жданова Ульяна Никитична,Улица Кравченко,25,54,1962,,,,,Иванов Артём Иванович
Максимова Полина Кирилловна,Ленинский проспект,3,145,1964,,,,,Иванов Даниил Олегович
Миронов Илья Мирославович,Улица Архитектора Власова,18,66,1970,,,,,Иванов Дмитрий Ярославович
Петровская Полина Максимовна,Ленинский проспект,2,238,1969,,,,,Иванов Максим Тимофеевич
Крючков Вячеслав Андреевич,Улица Панфёрова,4,201,1963,,,,,Иванова Татьяна Юрьевна
Новикова Елизавета Дмитриевна,Улица Академика Пилюгина,5,157,1952,,,,,Исаев Илья Георгиевич
Петрова Таисия Артёмовна,Улица Гарибальди,27,268,1994,,,,,Калинин Даниил Артёмович
Федотова Полина Максимовна,Улица Академика Пилюгина,24,175,1985,,,,,Карпов Александр Тимурович
Смирнова Полина Максимовна,Проспект Вернадского,12,113,1953,,,,,Карпов Григорий Иванович
