ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Рыбаков Фёдор Дмитриевич,Улица Крупской,17,193,1959,,Ленинский проспект,,,Абрамова Кристина Андреевна
Петровская Полина Максимовна,Улица Гарибальди,6,124,1950,,Улица Гарибальди,,,Александрова Василиса Ивановна
Никитина Мария Руслановна,Ленинский проспект,12,241,1982,,Улица Вавилова,,,Алексеев Степан Семёнович
Морозов Роман Артурович,Проспект Вернадского,21,75,1998,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Прохоров Андрей Арсеньевич,Улица Крупской,24,103,1959,,Улица Строителей,Улица Кравченко,,Алешина Кристина Евгеньевна
Данилова Диана Тимуровна,Улица Академика Пилюгина,3,236,1987,,Улица Крупской,,,Ананьев Алексей Семёнович
Иванов Максим Тимофеевич,Улица Вавилова,29,124,1972,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Максимова Анна Фёдоровна,Улица Архитектора Власова,23,224,1976,,Улица Кравченко,,,Анохина Полина Кирилловна
Яковлев Леонид Константинович,Улица Крупской,13,184,1991,,Улица Панфёрова,,,Антонов Артём Платонович
Денисов Илья Дмитриевич,Улица Панфёрова,24,196,2000,,Улица Академика Пилюгина,,,Астахова София Ильинична
Петровская Полина Максимовна,Ленинский проспект,6,266,1973,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Антонов Артём Платонович,Улица Архитектора Власова,28,171,1956,,Нахимовский проспект,,,Балашова Анна Савельевна
Миронов Илья Мирославович,Улица Строителей,13,116,1984,,,,,Баранова Алиса Ивановна
Шестаков Андрей Львович,Ленинский проспект,17,115,1996,,,,,Баранова Майя Михайловна
Семенова Виктория Ивановна,Нахимовский проспект,20,226,1995,,,,,Баранова Василиса Александровна
Белова Анастасия Ивановна,Ленинский проспект,24,56,1983,,,,,Баранова Виктория Максимовна
Платонова Алиса Степановна,Улица Академика Пилюгина,16,59,1992,,,,,Белов Максим Демидович
Миронов Иван Никитич,Улица Панфёрова,2,267,1972,,,,,Белова София Львовна
Власова Алина Андреевна,Улица Гарибальди,5,40,2002,,,,,Белова Анастасия Ивановна
Леонтьев Семён Иванович,Улица Гарибальди,23,213,1999,,,,,Беляева Ева Данииловна
Серебрякова Полина Ярославовна,Улица Кравченко,30,286,1966,,,,,Блохина Елизавета Ильинична
Иванов Артём Иванович,Улица Строителей,19,157,1960,,,,,Богданов Владимир Маркович
Никитина Мария Руслановна,Ленинский проспект,30,158,1955,,,,,Васильев Кирилл Ильич
Захаров Николай Александрович,Улица Вавилова,19,283,1983,,,,,Васильев Михаил Константинович
Филиппова Алиса Артёмовна,Улица Вавилова,24,249,1976,,,,,Васильева София Николаевна
Белова Анастасия Ивановна,Улица Архитектора Власова,2,262,2000,,,,,Васильева Вероника Мироновна
Васильева София Николаевна,Проспект Вернадского,13,40,1987,,,,,Васильева София Марковна
Данилова Диана Тимуровна,Улица Гарибальди,7,267,1984,,,,,Власова Алина Андреевна
Терентьева Арина Марковна,Улица Марии Ульяновой,20,211,1962,,,,,Волков Кирилл Маркович
Тихонова Василиса Фёдоровна,Ленинский проспект,14,97,2005,,,,,Воронин Сергей Дмитриевич
Воронина Полина Глебовна,Улица Панфёрова,4,276,1974,,,,,Воронина Полина Глебовна
Васильев Кирилл Ильич,Улица Вавилова,4,164,1990,,,,,Герасимов Андрей Матвеевич
Карпов Александр Тимурович,Улица Кравченко,19,147,1967,,,,,Герасимов Артур Денисович
Новикова Кира Борисовна,Улица Крупской,15,259,1971,,,,,Глухова Полина Андреевна
Петрова Таисия Артёмовна,Улица Гарибальди,27,241,1997,,,,,Голиков Лев Никитич
Васильев Михаил Константинович,Улица Марии Ульяновой,8,202,1978,,,,,Голиков Кирилл Маркович
Симонов Роман Андреевич,Улица Вавилова,29,129,1977,,,,,Гордеева Диана Михайловна
Моисеева София Максимовна,Нахимовский проспект,4,132,1982,,,,,Горелов Владимир Дмитриевич
Романов Сергей Михайлович,Улица Панфёрова,2,296,2005,,,,,Грачев Платон Русланович
Полякова Мария Артёмовна,Проспект Вернадского,10,47,1953,,,,,Григорьев Пётр Александрович
Морозов Роман Артурович,Нахимовский проспект,6,30,1960,,,,,Гришина Кира Артемьевна
Иванов Даниил Олегович,Улица Строителей,18,300,1964,,,,,Громова Кира Антоновна
Попов Илья Матвеевич,Проспект Вернадского,15,114,2003,,,,,Давыдов Кирилл Янович
Овчинникова Дарья Ильинична,Улица Панфёрова,19,228,1971,,,,,Данилова Диана Тимуровна
Ежова Ксения Георгиевна,Улица Крупской,22,124,2005,,,,,Денисов Илья Дмитриевич
Горелов Владимир Дмитриевич,Нахимовский проспект,16,151,1984,,,,,Денисов Алексей Романович
Крючков Вячеслав Андреевич,Улица Вавилова,13,147,1985,,,,,Дмитриев Ярослав Романович
Самсонова Милана Матвеевна,Улица Кравченко,30,74,1981,,,,,Добрынин Дмитрий Тихонович
Константинов Александр Юрьевич,Улица Академика Пилюгина,27,126,1995,,,,,Дорофеев Никита Александрович
Козлов Роман Сергеевич,Улица Гарибальди,25,111,1991,,,,,Дорофеева Анна Фёдоровна
Овчинникова Дарья Ильинична,Улица Академика Пилюгина,12,283,1990,,,,,Дьякова Анастасия Александровна
Матвеева Ева Андреевна,Улица Вавилова,30,131,1994,,,,,Егоров Глеб Семёнович
Осипов Александр Тимофеевич,Ленинский проспект,26,24,1996,,,,,Егорова Надежда Дмитриевна
Абрамова Кристина Андреевна,Улица Панфёрова,26,74,1999,,,,,Ежова Ксения Георгиевна
Крючков Вячеслав Андреевич,Улица Панфёрова,17,9,1973,,,,,Елизарова Антонина Игоревна
Мартынов Даниил Демьянович,Улица Марии Ульяновой,7,39,1958,,,,,Ермакова Майя Никитична
Наумов Артём Константинович,Улица Гарибальди,29,118,1965,,,,,Жданов Кирилл Фёдорович
Орлов Игорь Александрович,Улица Вавилова,3,156,1961,,,,,Жданов Илья Михайлович
Максимова Анна Фёдоровна,Улица Архитектора Власова,4,69,1964,,,,,Жданова Ульяна Никитична
Воронин Сергей Дмитриевич,Проспект Вернадского,21,255,1982,,,,,Захаров Роман Денисович
Соколова Василиса Александровна,Улица Гарибальди,5,187,1971,,,,,Захаров Николай Александрович
Осипов Вадим Борисович,Проспект Вернадского,19,202,2003,,,,,Захаров Илья Никитич
Пахомов Владислав Макарович,Нахимовский проспект,24,240,1957,,,,,Захарова Дарина Ярославовна
Наумов Артём Константинович,Нахимовский проспект,24,2,1961,,,,,Зубков Алексей Арсеньевич
Серебрякова Полина Ярославовна,Улица Гарибальди,11,71,1960,,,,,Иванов Артём Иванович
Новикова София Елисеевна,Улица Архитектора Власова,13,139,1987,,,,,Иванов Даниил Олегович
Соловьева София Константиновна,Улица Гарибальди,8,231,1994,,,,,Иванов Дмитрий Ярославович
Скворцов Максим Мирославович,Улица Вавилова,3,103,1997,,,,,Иванов Максим Тимофеевич
Иванова Татьяна Юрьевна,Улица Академика Пилюгина,25,125,1999,,,,,Иванова Татьяна Юрьевна
Федотова Полина Максимовна,Нахимовский проспект,9,281,1981,,,,,Исаев Илья Георгиевич
