ФИО,Улица,Дом,Квартира,Год рождения,,,,,
Белова Анастасия Ивановна,Нахимовский проспект,24,180,1978,,Ленинский проспект,,,Абрамова Кристина Андреевна
Калинин Даниил Артёмович,Проспект Вернадского,28,205,1950,,Улица Гарибальди,,,Александрова Василиса Ивановна
Воронина Полина Глебовна,Улица Вавилова,8,42,1996,,Улица Вавилова,,,Алексеев Степан Семёнович
Новикова Елизавета Дмитриевна,Улица Крупской,26,55,1993,,Проспект Вернадского,,,Алексеев Матвей Яковлевич
Волков Кирилл Маркович,Улица Панфёрова,4,119,1978,,Улица Строителей,Улица Панфёрова,,Алешина Кристина Евгеньевна
Блохина Елизавета Ильинична,Улица Вавилова,27,64,1991,,Улица Крупской,,,Ананьев Алексей Семёнович
Романова Вероника Николаевна,Проспект Вернадского,29,82,1995,,Улица Марии Ульяновой,,,Андреева Ева Андреевна
Пахомов Владислав Макарович,Ленинский проспект,12,110,1982,,Улица Кравченко,,,Анохина Полина Кирилловна
Филиппова Алиса Артёмовна,Улица Крупской,5,154,1972,,Улица Панфёрова,,,Антонов Артём Платонович
Фирсова Василиса Марковна,Улица Панфёрова,24,148,1973,,Улица Академика Пилюгина,,,Астахова София Ильинична
Елизарова Антонина Игоревна,Улица Строителей,21,204,1979,,Улица Архитектора Власова,,,Астахова Виктория Васильевна
Васильев Кирилл Ильич,Нахимовский проспект,15,258,2001,,Нахимовский проспект,,,Балашова Анна Савельевна
Родионова Дарья Александровна,Улица Вавилова,8,57,1970,,,,,Баранова Алиса Ивановна
Соловьева София Константиновна,Улица Крупской,29,97,1962,,,,,Баранова Майя Михайловна
Дорофеев Никита Александрович,Улица Вавилова,2,115,1990,,,,,Баранова Василиса Александровна
Кукушкин Павел Львович,Улица Вавилова,6,79,2001,,,,,Баранова Виктория Максимовна
Белова София Львовна,Ленинский проспект,20,205,1990,,,,,Белов Максим Демидович
Орлов Игорь Александрович,Улица Марии Ульяновой,8,255,1961,,,,,Белова София Львовна
Кожевников Иван Евгеньевич,Ленинский проспект,21,283,1974,,,,,Белова Анастасия Ивановна
Захарова Дарина Ярославовна,Улица Кравченко,10,16,1997,,,,,Беляева Ева Данииловна
Серебрякова Дарья Георгиевна,Улица Архитектора Власова,4,101,1978,,,,,Блохина Елизавета Ильинична
Григорьев Пётр Александрович,Улица Марии Ульяновой,30,225,1951,,,,,Богданов Владимир Маркович
Сазонова Анастасия Александровна,Проспект Вернадского,18,152,1990,,,,,Васильев Кирилл Ильич
Терентьева Арина Марковна,Улица Вавилова,23,4,1959,,,,,Васильев Михаил Константинович
Суслов Демид Дмитриевич,Нахимовский проспект,20,189,1997,,,,,Васильева София Николаевна
Сазонова Анастасия Александровна,Улица Кравченко,26,111,1958,,,,,Васильева Вероника Мироновна
Новикова София Елисеевна,Ленинский проспект,17,161,1995,,,,,Васильева София Марковна
Константинов Александр Юрьевич,Улица Гарибальди,9,284,1989,,,,,Власова Алина Андреевна
Овчинникова Дарья Ильинична,Улица Кравченко,18,11,1992,,,,,Волков Кирилл Маркович
Чернышев Платон Артёмович,Улица Кравченко,16,157,1975,,,,,Воронин Сергей Дмитриевич
Захаров Роман Денисович,Улица Марии Ульяновой,22,123,1982,,,,,Воронина Полина Глебовна
Усова Алиса Николаевна,Улица Гарибальди,5,216,1962,,,,,Герасимов Андрей Матвеевич
Иванов Дмитрий Ярославович,Проспект Вернадского,12,189,1977,,,,,Герасимов Артур Денисович
Павлов Евгений Кириллович,Улица Строителей,20,246,1959,,,,,Глухова Полина Андреевна
Зубков Алексей Арсеньевич,Улица Крупской,12,55,1963,,,,,Голиков Лев Никитич
Максимова Алиса Ярославовна,Улица Строителей,27,252,1986,,,,,Голиков Кирилл Маркович
Егорова Надежда Дмитриевна,Улица Строителей,9,70,1956,,,,,Гордеева Диана Михайловна
Никонова София Константиновна,Улица Архитектора Власова,17,224,1977,,,,,Горелов Владимир Дмитриевич
Суворов Макар Александрович,Улица Крупской,23,295,1958,,,,,Грачев Платон Русланович
Соколов Лев Владиславович,Проспект Вернадского,4,211,1973,,,,,Григорьев Пётр Александрович
Калинин Даниил Артёмович,Улица Академика Пилюгина,8,45,2001,,,,,Гришина Кира Артемьевна
Родионова Дарья Александровна,Проспект Вернадского,23,155,1975,,,,,Громова Кира Антоновна
Балашова Анна Савельевна,Улица Строителей,1,212,1963,,,,,Давыдов Кирилл Янович
Блохина Елизавета Ильинична,Ленинский проспект,3,123,2002,,,,,Данилова Диана Тимуровна
Петрова Таисия Артёмовна,Улица Марии Ульяновой,12,96,1974,,,,,Денисов Илья Дмитриевич
Миронов Илья Мирославович,Улица Архитектора Власова,6,191,1950,,,,,Денисов Алексей Романович
Орлов Игорь Александрович,Улица Архитектора Власова,19,230,1957,,,,,Дмитриев Ярослав Романович
Захаров Николай Александрович,Улица Строителей,10,157,1972,,,,,Добрынин Дмитрий Тихонович
Новикова Кира Борисовна,Ленинский проспект,20,48,1982,,,,,Дорофеев Никита Александрович
Андреева Ева Андреевна,Улица Крупской,22,125,1975,,,,,Дорофеева Анна Фёдоровна
Антонов Артём Платонович,Улица Вавилова,1,48,1977,,,,,Дьякова Анастасия Александровна
Фомин Артём Андреевич,Улица Кравченко,19,110,1957,,,,,Егоров Глеб Семёнович
Романова Вероника Николаевна,Проспект Вернадского,3,47,1998,,,,,Егорова Надежда Дмитриевна
Морозов Роман Артурович,Улица Панфёрова,1,54,2003,,,,,Ежова Ксения Георгиевна
Суворов Макар Александрович,Улица Марии Ульяновой,15,7,1986,,,,,Елизарова Антонина Игоревна
Герасимов Андрей Матвеевич,Улица Кравченко,23,194,1974,,,,,Ермакова Майя Никитична
Абрамова Кристина Андреевна,Улица Вавилова,20,217,2004,,,,,Жданов Кирилл Фёдорович
Платонова Алиса Степановна,Улица Архитектора Власова,15,245,1958,,,,,Жданов Илья Михайлович
Полякова Мария Артёмовна,Улица Кравченко,2,161,2000,,,,,Жданова Ульяна Никитична
Гришина Кира Артемьевна,Ленинский проспект,30,275,1969,,,,,Захаров Роман Денисович
Усова Алиса Николаевна,Улица Архитектора Власова,6,259,1968,,,,,Захаров Николай Александрович
Осипов Вадим Борисович,Улица Марии Ульяновой,8,101,1977,,,,,Захаров Илья Никитич
Петровская Анастасия Макаровна,Улица Академика Пилюгина,8,4,1967,,,,,Захарова Дарина Ярославовна
Баранова Алиса Ивановна,Улица Академика Пилюгина,11,27,1980,,,,,Зубков Алексей Арсеньевич
Петровская Анастасия Макаровна,Улица Марии Ульяновой,22,134,1977,,,,,Иванов Артём Иванович
Голиков Кирилл Маркович,Улица Панфёрова,11,179,1951,,,,,Иванов Даниил Олегович
Голиков Лев Никитич,Ленинский проспект,13,224,1958,,,,,Иванов Дмитрий Ярославович
Богданов Владимир Маркович,Улица Кравченко,14,176,1990,,,,,Иванов Максим Тимофеевич
Голиков Лев Никитич,Проспект Вернадского,25,60,2000,,,,,Иванова Татьяна Юрьевна
Герасимов Андрей Матвеевич,Улица Марии Ульяновой,20,274,1971,,,,,Исаев Илья Георгиевич
Баранова Василиса Александровна,Улица Кравченко,4,56,1968,,,,,Калинин Даниил Артёмович
Новикова София Елисеевна,Нахимовский проспект,5,269,1963,,,,,Карпов Александр Тимурович
Жданов Кирилл Фёдорович,Улица Марии Ульяновой,21,225,1994,,,,,Карпов Григорий Иванович
Васильева Вероника Мироновна,Улица Гарибальди,28,105,1999,,,,,Карпова Арина Григорьевна
Тарасова Арина Глебовна,Улица Марии Ульяновой,10,252,1967,,,,,Карташов Марк Владимирович
Степанов Дмитрий Александрович,Улица Архитектора Власова,5,92,1976,,,,,Климова Екатерина Михайловна
Елизарова Антонина Игоревна,Улица Кравченко,16,135,1976,,,,,Кожевников Иван Евгеньевич
Попов Даниил Михайлович,Улица Панфёрова,9,174,1965,,,,,Козлов Роман Сергеевич
Денисов Алексей Романович,Улица Гарибальди,1,129,1968,,,,,Козлов Глеб Матвеевич
Данилова Диана Тимуровна,Ленинский проспект,15,98,1958,,,,,Козлов Иван Михайлович
Захарова Дарина Ярославовна,Проспект Вернадского,18,294,1995,,,,,Козлова Виктория Дмитриевна
Блохина Елизавета Ильинична,Улица Строителей,6,272,1978,,,,,Колесников Георгий Маркович
Овчинникова Дарья Ильинична,Улица Гарибальди,13,178,1996,,,,,Константинов Александр Юрьевич
Павлов Кирилл Александрович,Улица Строителей,13,235,1980,,,,,Копылов Григорий Платонович
Лебедева Василиса Андреевна,Улица Крупской,23,49,1967,,,,,Коровина Екатерина Юрьевна
Усова Алиса Николаевна,Улица Панфёрова,17,181,1962,,,,,Коротков Кирилл Мирославович
Усова Алиса Николаевна,Улица Марии Ульяновой,11,200,1983,,,,,Крючков Вячеслав Андреевич
Максимова Полина Максимовна,Улица Архитектора Власова,18,6,1976,,,,,Кудрявцева Анна Тимофеевна
Наумов Артём Константинович,Улица Вавилова,2,257,1980,,,,,Кукушкин Павел Львович
Антонов Артём Платонович,Улица Архитектора Власова,14,14,1976,,,,,Куликов Ярослав Фёдорович
Баранова Виктория Максимовна,Проспект Вернадского,13,297,2003,,,,,Куликова Мария Никитична
Козлов Глеб Матвеевич,Улица Кравченко,6,167,1963,,,,,Лазарева Анна Григорьевна
Герасимов Андрей Матвеевич,Улица Кравченко,8,51,1977,,,,,Ларина Александра Ярославовна
Михайлов Елисей Михайлович,Ленинский проспект,21,85,1950,,,,,Латышев Роман Михайлович
Пономарева Мирослава Григорьевна,Проспект Вернадского,4,105,1978,,,,,Лебедева Василиса Андреевна
Елизарова Антонина Игоревна,Нахимовский проспект,4,181,1966,,,,,Левин Максим Богданович
Максимова Полина Максимовна,Нахимовский проспект,13,236,1953,,,,,Левин Сергей Ильич
Литвинова Полина Лукинична,Улица Марии Ульяновой,12,130,1999,,,,,Левина Анна Александровна
Суворов Макар Александрович,Проспект Вернадского,23,66,1961,,,,,Леонтьев Семён Иванович
Герасимов Андрей Матвеевич,Нахимовский проспект,27,104,1986,,,,,Литвинова Полина Лукинична
Герасимов Артур Денисович,Проспект Вернадского,28,204,2004,,,,,Максимова Полина Кирилловна
Денисов Алексей Романович,Проспект Вернадского,30,66,1954,,,,,Максимова Анна Фёдоровна
Никитина Мария Руслановна,Улица Строителей,16,212,1969,,,,,Максимова Полина Максимовна
Миронов Илья Мирославович,Улица Гарибальди,11,140,1957,,,,,Максимова Алиса Ярославовна
Антонов Артём Платонович,Улица Вавилова,19,296,1980,,,,,Мартынов Даниил Демьянович
Новикова Кристина Васильевна,Ленинский проспект,18,20,1998,,,,,Матвеева Ева Андреевна
Соколов Михаил Романович,Улица Строителей,3,49,1990,,,,,Миронов Илья Мирославович
Климова Екатерина Михайловна,Ленинский проспект,28,147,1992,,,,,Миронов Иван Никитич
Сергеев Михаил Станиславович,Улица Марии Ульяновой,1,140,1953,,,,,Михайлов Елисей Михайлович
Тихонов Константин Артёмович,Улица Строителей,15,247,1994,,,,,Моисеева София Максимовна
Астахова Виктория Васильевна,Проспект Вернадского,24,233,1952,,,,,Морозов Роман Артурович
Орлов Георгий Иванович,Ленинский проспект,20,194,1953,,,,,Наумов Артём Константинович
Ермакова Майя Никитична,Улица Архитектора Власова,28,153,1969,,,,,Никитина Мария Руслановна
Степанов Дмитрий Александрович,Ленинский проспект,10,229,1999,,,,,Николаева Дарина Григорьевна
Новикова Кристина Васильевна,Улица Кравченко,20,166,1975,,,,,Николаева Валерия Владимировна
Филиппова София Максимовна,Улица Вавилова,4,183,1975,,,,,Никонова София Константиновна
Петровская Полина Максимовна,Улица Академика Пилюгина,4,98,1978,,,,,Новиков Андрей Георгиевич
Платонова Алиса Степановна,Улица Марии Ульяновой,24,217,1986,,,,,Новикова Кристина Васильевна
Лебедева Василиса Андреевна,Улица Кравченко,20,164,1968,,,,,Новикова София Елисеевна
Сергеев Гордей Ярославович,Нахимовский проспект,29,37,1991,,,,,Новикова Елизавета Дмитриевна
